label,Category,description
1,Elephant,Elephant right (varieties occur see text)
2,Two taurines,Dot within circle flanked by two taurines
3,,Centipede-like insect
4,,Central dot surrounded by four dots arranged quadrilaterally all within a square frame
5,,Candelabrum
6,Plant with roots,Plant with single stem and extended top roots turned to the left
6a,Plant with roots,As 6 but the roots extend vertically upwards more
7,Plant with roots,Plant with single stem and triangular top roots turned to the left. There is doubt about this mark which is easily confused with mark 6
8,,Eight spokes around a circle with small hole in centre
9,Other plants,Twig with five almond-shaped leaves
10,Plant with roots,Plant with single stem and extended top roots turned to the right
10a,Plant with roots,As 10 but the roots extend vertically upwards more
11,Plant with roots,Plant with single stem and triangular top turned to the right. There is doubt about this mark which is easily confused with mark 10
12,,A zigzag of five lines
13,Fish,Four fishes in a box facing inwards
14,,Four taurines round a central dot
14a,,As 14 but taurines anti-clockwise
15,,Three ovals in a row bisected by a central line the ovals either tangent or separate
16,Tree in railing,Tree with six simple branches upon four-square railing ('Tree in railing')
16a,Tree in railing,Tree with eight simple branches upon four-square railing ('Tree in railing')
17,Tree in railing,Tree with four simple branches upon six-square railing
18,Arches,A base supporting three vertical poles two with slanted tops all flanked by two arches
19,Donkey or horse,Donkey or horse facing right
19a,Donkey or horse,Donkey or horse with mane right. Minor variants occur
20,Squared square,A four-squared square
21,Deer-like,Deer before a twig; above two dots joined together with vertical line to their right
21a,,As 21a but the four dots not in a square
21b,,As 21 but above four dots in a square with vertical line to their right
21c,,As 21a but above two dots a vertical line and a smaller vertical line joined to it
21d,,As 21a but above a vertical line and two horizontal prongs attached to the left
21e,,As 21a but above a vertical line and three horizontal prongs attached to the left
22,Bull; Standard,Bull right with standard horizontally above
23,Dog or Rabbit-like; Tortoise,Dog with pup in mouth tortoise and three taurines below
24,,Steelyard (balance) with pan to left
24a,,As 24 but weight at foot open
25,,As 24 but pan to right
26,Elephant; Spider,Elephant right over spider-like insect
27,Bull,Bull right with cusp and two taurines in front
28,Rake,Two double-ended taurines either side of a rake with four prongs
28a,Rake,As 28 but normal taurines
29,,Twig with four straight branches sloping upwards tangent to and within a circle
29a,,As 29 but branches tend to horizontal and not tangent to circle
30,Centipede,Curled centipede with pincers at both ends
31,Centipede,As 30 but oblique legs on underside only and taurine within the curl above
32,Centipede,As 30 but oblique legs on underside
33,Snake,Snake with open mouth surrounded by dots on three sides
34,Large taurine,Circle enclosing taurine
35,,Flower from above with central ovary and (usually) seven petals
35a,,As 35 but solid centre
36,Elephant,Elephant left
37,,Circle containing three outline circles
38,,Five outline circles one in the centre and four surrounding
39,,Large dot with small pellets around
40,,Triangle enclosing three dots
41,Large taurine,Taurine within rectangle
42,,Two squares with vertical line between; the squares sometimes open
43,,Tilde-like shape perhaps a worm
44,,Large outline circle
45,,Circle enclosing an oval solid dot
46,Bull,Bull left
47,,Circle enclosing three dots
48,,Five-pointed solid star with central piercing
49,,Square enclosing four circles
50,Arc & dots,Crescent facing up enclosing six dots arranged 3-2-1
51,Other plants,A plant with four straight upward-inclined branches and a broader base with a dot or protrusion at the foot
52,Other plants,A simple twig with three (sometimes four) straight upward-inclined branches no buds or leaves
53,,A W-shaped mark
54,,Triangle enclosing a dot
55,Wheels with spokes,Circle with six spokes and a central piercing. Note this may be a bankers mark
56,,Beetle in a box
57,Fish,Fish
58,Bull,Bull right
59,,Circle with eight dots around
60,,A shape like a hook on an oval ring
61,,Simple outline triangle
62,,Circle enclosing two conjoined ovals
63,,A frustum enclosing three dots
64,Human Figure,A shape like a human holding an uncertain object low down at left
65,,Comb-like object
65d,,Six-Armed Symbol
66,,Circle encasing a vertical line to which a curved line is attached
67,,Circle within which a vertical pole holding up an oval outline
68,,Cross with central piercing
69,,Wide-topped pot
70,Large taurine,Taurine with dots round the sides and bottom. See also 3rd and 4th marks
71,Human Figure,Human-like figure (?) facing
72,Other plants,Plant with eleven branches each with single round leaves on a circular base
73,,Three dots with no outer circle
74,,Solid dot around which an arc with bifurcated ends
75,Plant with roots,Vertical pole containing three dots with three-pronged tail to left
76,,Circle enclosing a vertical pole holding up a solid oval
77,Other plants,A twig with a bud at the top of the stem and three upward-inclined branches ending in buds. Minor variants are included in this category
78,,Dome with four triangles two each side and a bulbous point at the top perhaps representing a building
79,Centipede,Centipede with tail to right
79a,Centipede,As 79 but tail to the left and extended
80,Fish,Circle enclosing four fishes facing pointing towards an annulet in the centre
81,Centipede,Centipode with tail to left
82,Bull,Wide-horned bull left
83,Beetle-like,Two fishes side by side in a rectangle fins touching
83a,Fish,Two fishes side by side in a rectangle fins not touching
84,Other plants,Plant with triangular base five branches with single leaves and four dots between the leaves
85,Other plants,Plant with triangular base seven branches with single leaves and two dots under the lower leaves
86,,Ellipse with four legs and dots around perhaps a beetle
87,Fish,Circle enclosing three fishes swimming clockwise
88,Fish,Three fishes separated by a wavy line
